rule	status
bv_umulo_elim	Proven
bv_urem_one	Proven
bv_urem_pow2_not_one	Proven
bv_urem_self	Proven
bv_usubo_eliminate	Proven
bv_xnor_eliminate	Proven
bv_xor_concat_pullup	Proven
bv_xor_concat_pullup2	Proven
bv_xor_concat_pullup3	Proven
bv_xor_duplicate	Proven
bv_xor_not	Proven
bv_xor_ones	Proven
bv_xor_simplify_1	Proven
bv_xor_simplify_2	Proven
bv_xor_simplify_3	Proven
bv_zero_extend_eliminate	Proven
bv_zero_extend_eliminate_0	Proven
bv_zero_extend_eq_const_1	Proven
bv_zero_extend_eq_const_2	Proven
bv_zero_extend_ult_const_1	Proven
bv_zero_extend_ult_const_2	Proven
bv_zero_ule	Proven
chain_m_resolution	Proven
chain_resolution	Proven
cnf_and_neg	Proven
cnf_and_pos	Proven
cnf_equiv_neg1	Proven
cnf_equiv_neg2	Proven
cnf_equiv_pos1	Proven
cnf_equiv_pos2	Proven
cnf_implies_neg1	Proven
cnf_implies_neg2	Proven
cnf_implies_pos	Proven
cnf_ite_neg1	Proven
cnf_ite_neg2	Proven
cnf_ite_neg3	Proven
cnf_ite_pos1	Proven
cnf_ite_pos2	Proven
cnf_ite_pos3	Proven
cnf_or_neg	Proven
cnf_or_pos	Proven
cnf_xor_neg1	Proven
cnf_xor_neg2	Proven
cnf_xor_pos1	Proven
cnf_xor_pos2	Proven
concat_cprop	Proven
concat_csplit	Proven
concat_eq	Proven
concat_lprop	Proven
concat_split	Proven
concat_unify	Proven
cong	Proven
contra	Proven
distinct_binary_elim	Proven
distinct_card_conflict	Proven
distinct_elim	Proven
distinct_false	Proven
distinct_true	Proven
distinct_values	Proven
dt_collapse_selector	Proven
dt_collapse_tester	Proven
dt_collapse_tester_singleton	Proven
dt_collapse_updater	Proven
dt_cons_eq	Proven
dt_cons_eq_clash	Proven
dt_cycle	Proven
dt_inst	Proven
dt_split	Proven
dt_updater_elim	Proven
eq_cond_deq	Proven
eq_ite_lift	Proven
eq_refl	Proven
eq_resolve	Proven
eq_symm	Proven
equiv_elim1	Proven
equiv_elim2	Proven
evaluate	Proven
exists_elim	Proven
exists_string_length	Proven
factoring	Proven
false_elim	Proven
false_intro	Proven
ho_cong	Proven
implies_elim	Proven
instantiate	Proven
int_tight_lb	Proven
int_tight_ub	Proven
int_to_bv_elim	Proven
ite_elim1	Proven
ite_elim2	Proven
ite_else_false	Proven
ite_else_lookahead	Proven
ite_else_lookahead_not_self	Proven
ite_else_lookahead_self	Proven
ite_else_neg_lookahead	Proven
ite_else_true	Proven
ite_eq	Proven
ite_eq_branch	Proven
ite_expand	Proven
ite_false_cond	Proven
ite_neg_branch	Proven
ite_not_cond	Proven
ite_then_false	Proven
ite_then_lookahead	Proven
ite_then_lookahead_not_self	Proven
ite_then_lookahead_self	Proven
ite_then_neg_lookahead	Proven
ite_then_true	Proven
ite_true_cond	Proven
modus_ponens	Proven
nary_cong	Proven
not_and	Proven
not_equiv_elim1	Proven
not_equiv_elim2	Proven
not_implies_elim1	Proven
not_implies_elim2	Proven
not_ite_elim1	Proven
not_ite_elim2	Proven
not_not_elim	Proven
not_or_elim	Proven
not_xor_elim1	Proven
not_xor_elim2	Proven
pairwise_cong	Proven
process_scope	Proven
quant_dt_split	Proven
quant_merge_prenex	Proven
quant_miniscope_and	Proven
quant_miniscope_ite	Proven
quant_miniscope_or	Proven
quant_unused_vars	Proven
quant_var_elim_eq	Proven
quant_var_reordering	Proven
re_all_elim	Proven
re_concat	Proven
re_concat_merge	Proven
re_concat_star_nullable1	Proven
re_concat_star_nullable2	Proven
re_concat_star_repeat	Proven
re_concat_star_swap	Proven
re_diff_elim	Proven
re_eq_elim	Proven
re_in_comp	Proven
re_in_cstring	Proven
re_in_empty	Proven
re_in_sigma	Proven
re_in_sigma_star	Proven
re_inter	Proven
re_inter_all	Proven
re_inter_cstring	Proven
re_inter_cstring_neg	Proven
re_inter_inclusion	Proven
re_loop_elim	Proven
re_loop_neg	Proven
re_loop_star	Proven
re_opt_elim	Proven
re_plus_elim	Proven
re_range_emp	Proven
re_range_non_singleton_1	Proven
re_range_non_singleton_2	Proven
re_range_refl	Proven
re_repeat_elim	Proven
re_star_emp	Proven
re_star_none	Proven
re_star_star	Proven
re_star_union_char	Proven
re_star_union_drop_emp	Proven
re_unfold_neg	Proven
re_unfold_neg_concat_fixed	Proven
re_unfold_pos	Proven
re_union_all	Proven
re_union_const_elim	Proven
re_union_inclusion	Proven
refl	Proven
reordering	Proven
resolution	Proven
scope	Proven
seq_eval_op	Proven
seq_len_rev	Proven
seq_len_unit	Proven
seq_nth_unit	Proven
seq_rev_concat	Proven
seq_rev_rev	Proven
seq_rev_unit	Proven
sets_choose_singleton	Proven
sets_eq_singleton_emp	Proven
